,cand_id,cand_name,votes,total,state,fips,pct
18172,WV57783,Darrell Castle,22,3621,WV,54095,0.00607567
18163,WV57048,Donald Trump,2557,3464,WV,54093,0.738163972
18164,WV57731,Hillary Clinton,750,3464,WV,54093,0.216512702
18165,WV57732,Gary Johnson,101,3464,WV,54093,0.029157044
18166,WV57767,Jill Stein,46,3464,WV,54093,0.013279446
18167,WV57783,Darrell Castle,10,3464,WV,54093,0.002886836
18158,WV57048,Donald Trump,4701,6498,WV,54091,0.72345337
18159,WV57731,Hillary Clinton,1483,6498,WV,54091,0.228224069
18160,WV57732,Gary Johnson,194,6498,WV,54091,0.02985534
18161,WV57767,Jill Stein,77,6498,WV,54091,0.0118498
18162,WV57783,Darrell Castle,43,6498,WV,54091,0.006617421
18153,WV57048,Donald Trump,3444,4847,WV,54089,0.710542604
18154,WV57731,Hillary Clinton,1186,4847,WV,54089,0.244687436
18155,WV57732,Gary Johnson,137,4847,WV,54089,0.028264906
18156,WV57767,Jill Stein,57,4847,WV,54089,0.011759851
18157,WV57783,Darrell Castle,23,4847,WV,54089,0.004745203
18148,WV57048,Donald Trump,3772,5234,WV,54087,0.720672526
18149,WV57731,Hillary Clinton,1220,5234,WV,54087,0.233091326
18150,WV57732,Gary Johnson,141,5234,WV,54087,0.026939243
18151,WV57767,Jill Stein,65,5234,WV,54087,0.0124188
18152,WV57783,Darrell Castle,36,5234,WV,54087,0.006878105
18143,WV57048,Donald Trump,3376,4040,WV,54085,0.835643564
18144,WV57731,Hillary Clinton,490,4040,WV,54085,0.121287129
18145,WV57732,Gary Johnson,105,4040,WV,54085,0.025990099
18146,WV57767,Jill Stein,40,4040,WV,54085,0.00990099
18147,WV57783,Darrell Castle,29,4040,WV,54085,0.007178218
18138,WV57048,Donald Trump,7583,10816,WV,54083,0.701090976
18139,WV57731,Hillary Clinton,2724,10816,WV,54083,0.251849112
18140,WV57732,Gary Johnson,338,10816,WV,54083,0.03125
18141,WV57767,Jill Stein,93,10816,WV,54083,0.008598373
18142,WV57783,Darrell Castle,78,10816,WV,54083,0.007211538
18133,WV57048,Donald Trump,21835,29311,WV,54081,0.744942172
18134,WV57731,Hillary Clinton,6362,29311,WV,54081,0.217051619
18135,WV57732,Gary Johnson,675,29311,WV,54081,0.023028897
18136,WV57767,Jill Stein,252,29311,WV,54081,0.008597455
18137,WV57783,Darrell Castle,187,29311,WV,54081,0.006379857
18128,WV57048,Donald Trump,17455,24443,WV,54079,0.714110379
18129,WV57731,Hillary Clinton,5784,24443,WV,54079,0.236632165
18130,WV57732,Gary Johnson,811,24443,WV,54079,0.033179233
18131,WV57767,Jill Stein,262,24443,WV,54079,0.010718815
18132,WV57783,Darrell Castle,131,24443,WV,54079,0.005359408
18123,WV57048,Donald Trump,9501,12611,WV,54077,0.753389898
18124,WV57731,Hillary Clinton,2462,12611,WV,54077,0.19522639
18125,WV57732,Gary Johnson,427,12611,WV,54077,0.033859329
18126,WV57767,Jill Stein,130,12611,WV,54077,0.010308461
18127,WV57783,Darrell Castle,91,12611,WV,54077,0.007215923
18118,WV57048,Donald Trump,2474,3619,WV,54075,0.683614258
18119,WV57731,Hillary Clinton,924,3619,WV,54075,0.255319149
18120,WV57732,Gary Johnson,149,3619,WV,54075,0.041171594
18121,WV57767,Jill Stein,57,3619,WV,54075,0.015750207
18122,WV57783,Darrell Castle,15,3619,WV,54075,0.004144791
18113,WV57048,Donald Trump,2342,3130,WV,54073,0.748242812
18114,WV57731,Hillary Clinton,620,3130,WV,54073,0.198083067
18115,WV57732,Gary Johnson,120,3130,WV,54073,0.038338658
18116,WV57783,Darrell Castle,28,3130,WV,54073,0.008945687
18117,WV57767,Jill Stein,20,3130,WV,54073,0.006389776
18108,WV57048,Donald Trump,2388,3212,WV,54071,0.743462017
18109,WV57731,Hillary Clinton,726,3212,WV,54071,0.226027397
18110,WV57732,Gary Johnson,73,3212,WV,54071,0.022727273
18111,WV57767,Jill Stein,18,3212,WV,54071,0.005603985
18112,WV57783,Darrell Castle,7,3212,WV,54071,0.002179328
18103,WV57048,Donald Trump,11077,17819,WV,54069,0.621639823
18104,WV57731,Hillary Clinton,5452,17819,WV,54069,0.305965542
18105,WV57732,Gary Johnson,738,17819,WV,54069,0.041416466
18106,WV57767,Jill Stein,382,17819,WV,54069,0.021437791
18107,WV57783,Darrell Castle,170,17819,WV,54069,0.009540378
18098,WV57048,Donald Trump,7169,9385,WV,54067,0.76387853
18099,WV57731,Hillary Clinton,1821,9385,WV,54067,0.194033031
18100,WV57732,Gary Johnson,279,9385,WV,54067,0.02972829
18101,WV57767,Jill Stein,82,9385,WV,54067,0.008737347
18102,WV57783,Darrell Castle,34,9385,WV,54067,0.003622802
18093,WV57048,Donald Trump,5718,7635,WV,54065,0.74891945
18094,WV57731,Hillary Clinton,1568,7635,WV,54065,0.205370007
18095,WV57732,Gary Johnson,208,7635,WV,54065,0.02724296
18096,WV57767,Jill Stein,103,7635,WV,54065,0.013490504
18097,WV57783,Darrell Castle,38,7635,WV,54065,0.004977079
18088,WV57048,Donald Trump,4337,5670,WV,54063,0.764902998
18089,WV57731,Hillary Clinton,1089,5670,WV,54063,0.192063492
18090,WV57732,Gary Johnson,147,5670,WV,54063,0.025925926
18091,WV57767,Jill Stein,54,5670,WV,54063,0.00952381
18092,WV57783,Darrell Castle,43,5670,WV,54063,0.007583774
18083,WV57048,Donald Trump,18278,35733,WV,54061,0.511515966
